barcode;cosmetics;ingredients
55962754;Buy Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color;PVP/Hexadecene copolymer, Nylon powder, Cyclomethicon
18648667;Buy Maybelline New York Fit Me Concealer;Water (Aqua), Cyclopentasiloxane, Hydrogenated Polyisobutene, Glycerin, Sorbitan Isostearate, Propylene Glycol, Titanium Dioxide, Ozokerite, Phenoxyethanol, Magnesium Sulfate, Disteardimonium Hectorite, Disodium Stearoyl Glutamate, Methylparaben, Acrylates Crosspolymer, Alumina, Butylparaben, Aluminum Hydroxide, Tocopherol, Silica, Chamomilla Recutita (Matricaria Flower Extract), May Contain (+/-): (Ci 77891), Iron Oxides (Ci 77491, 77492, 77499), Mica F.I.L. D43567/2
62066151;Maybelline New York Super Stay Full Coverage Foundation;Cyclopentasiloxane, Aqua / Water, Polypropylsilsesquioxane, Isododecane, Dimethicone, C30-45 Alkyldimethylsilyl Polypropylsilsesquioxane, Peg-10 Dimethicone, Glycerin, Silica, Dimethicone/polyglycerin-3 Crosspolymer, Sodium Chloride, Nylon-12, Phenoxyethanol, Disteardimonium Hectorite,\n<br>Disodium Stearoyl Glutamate, Cyclomethicone, Chlorphenesin, Ethylparaben, Disodium Edta, Acrylonitrile/methyl Methacrylate/vinylidene Chloride\n<br>Copolymer, Aluminum Hydroxide, Dipropylene Glycol, Isobutane, Paraffin, Sodium Citrate, Tocopherol, Isopropyl Alcohol,\n<br>[+/- May Contain Ci 77891 / Titanium Dioxide, Ci 77491, Ci 77492, Ci 77499 / Iron Oxides ] G854042
81914696;Garnier Skin Naturals Micellar Cleansing Water;Aqua / Water, Hexylene Glycol, Glycerin, Disodium Cocoamphodiacetate, Disodium Edta, Poloxamer 184, Polyaminopropyl Biguanide, Fil B162919/3
14649199;NYX Professional Makeup Soft Matte Lip Cream;Isohexadecane, Pentaerythrityl Tetraisostearate, Disteardimonium Hectorite, Dimethicone, Beeswax/Cera Alba/Cire d⫪Abeille, Glyceryl Behenate/Eicosadioate, Talc, Cyclopentasiloxane, Propylene Carbonate, Silica, Methyl Methacrylate Crosspolymer, Aluminum Starch Octenylsuccinate, Dimethicone Crosspolymer, Rosin/Colophonium/Colophane, Barium Sulfate (CI 77120), Phenoxyethanol, Flavor/Aroma, Benzyl Alcohol, Benzyl Benzoate, Benzyl Salicylate, Hexyl Cinnamal, Hydroxycitronellal. MAY CONTAIN / PEUT CONTENIR (+/-): Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Yellow 6 Lake (CI 15985), Yellow 5 Lake (CI 19140), Red 6 (CI 15850), Red 7 (CI 15850), Red 28 Lake (CI 45410).
86622620;Garnier Skin Naturals Micellar Oil-Infused Cleansing Water;Aqua/Water, Cyclopentasiloxane, Isohexadecane, Potassium Phosphate, Sodium Chloride, Hexylene Glycol, Dipotassium Phosphate, Disodium Edta, Decyl Glucoside, Polyaminopropyl Biguanide
76874725;Wet n Wild MegaGlo Highlighting Powder;Synthetic Fluorphlogopite, Dimethicone, Boron Nitride, Trimethylsiloxysilicate, Octyldodecyl Stearoyl Stearate, Silica, Ethyl Macadamiate, Polysorbate 20, Phytosteryl Macadamiate, Caprylic/Capric Triglyceride, Phenoxyethanol, Sorbitan Stearate, Caprylyl Glycol, Tin Oxide, Magnesium Aluminum Silicate, Hexylene Glycol, Ethylhexylglycerin, Water/Eau, o-Cymen-5-ol, Polyacrylamide, Tocopheryl Acetate, C13-14 Isoparaffin, Triethoxycaprylylsilane, Laureth-7, Lauroyl Lysine, Tocopherol, [+/- (MAY CONTAIN/PEUT CONTENIR): Iron Oxides/CI 77499, Mica, Titanium Dioxide/CI 77891].
32610642;Garnier Skin Naturals Micellar Cleansing Water + Free Cotton Pad;Aqua / Water, Hexylene Glycol, Glycerin, Disodium Cocoamphodiacetate, Disodium Edta, Poloxamer 184, Polyaminopropyl Biguanide, Fil B162919/3
51847275;Colorbar  Nail Polish Remover;Ethyl Acetate, Isopropyl Alcohol, Ethyl Methyl Ketone, Propylene Glycol, Ethyl Cellosolve, Isopropyl Myristate, D.m. Water, Butylated Hydroxy Toluene, Benzophenone-3, Jojoba Oil, Fragrance.
28688880;Buy Lakme Enrich Satin Lipstick;Octyldodecanol,Cetearyl Octanoate,Ethyl Cellulose.
